3,9,99
CÔNG TY TNHH MTV TRANH CÁT PHƯƠNG VY,"214 Phan Văn Hân ,Phường 17, Quận Bình Thạnh , TPHCM.","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 17', 'route': 'Phan Văn Hân', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.794363, 'lng': 106.703824}}"
CƠ SỞ THỦ CÔNG MỸ NGHỆ HỒNG HÓA,"75/4 Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 15', 'route': 'Nguyễn Sỹ Sách', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8194483, 'lng': 106.6348217}}"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THANH THỦY,"181D Đường 3/2, P.11, Q10, Tp. Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 11', 'route': 'Đường số 3', 'administrative_area_level_2': 'Gò Vấp', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8472896, 'lng': 106.6590466}}"
CÔNG TY CP CÔNG NGHIỆP & XNK CAO SU,"64 Trương Định, Quận 3, TP. Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 7', 'route': 'Trương Định', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.782118, 'lng': 106.68452}}"
CÔNG TY TNHH DỊCH VỤ GIAO NHẬN HÀNG HÓA TÂN SƠN NHẤT (TECS),"Số 6 Thăng Long, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh ","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 4', 'route': 'Thăng Long', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8012131, 'lng': 106.6610226}}"
CÔNG TY CỔ PHẦN DỊCH VỤ VÀ XÂY DỰNG ĐỊA ỐC ĐẤT XANH ĐÔNG Á,"27 Đinh Bộ Lĩnh, P.24, Quận Bình Thạnh, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 24', 'route': 'Đinh Bộ Lĩnh', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8045259, 'lng': 106.70926}}"
CÔNG TY TNHH TÂN THÀNH ĐẠT,"Lô 9, Khu B, ấp Đông Chiểu, Phường Tân Đông Hiệp, Thị xã Dĩ An, tỉnh Bình Dương","{'locality': 'tx. Dĩ An', 'sublocality_level_1': 'Tân Đông Hiệp', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Binh Duong', 'country': 'Vietnam', 'location': {'lat': 10.9174137, 'lng': 106.76861}}"
CÔNG TY CỔ PHẦN TÂN THÀNH ĐÔ CITY FORD,"260 Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp. HCM","{'locality': '', 'sublocality_level_1': '26', 'route': 'Quốc lộ 13', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8172567, 'lng': 106.7131662}}"
CÔNG TY TNHH MAY THÊU LIÊN Á CHÂU,"60 HOÀNG HOA THÁM ,P7 ,Q.BÌNH THẠNH ,TP HỒ CHÍ MINH","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 7', 'route': 'Hoàng Hoa Thám', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.806319, 'lng': 106.690502}}"
TỔNG CÔNG TY TÍN NGHĨA,"96 Hà Huy Giáp (QL1 cũ), Phường Quyết Thắng - TP Biên Hòa - Tỉnh Đồng Nai","{'locality': 'tp. Biên Hòa', 'sublocality_level_1': 'Quyết Thắng', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đồng Nai', 'country': 'Vietnam', 'location': {'lat': 10.9444518, 'lng': 106.8222625}}"
